topic_id,top_terms,top_10_terms,record_n,share,topic_label
6,risk; management; adaptation; social; disaster; policy; resilience; natural; disasters; strategies; environmental; community; local; communities; hazards; planning; vulnerability; mitigation; knowledge; economic,risk; management; adaptation; social; disaster; policy; resilience; natural; disasters; strategies,1389,0.1452473073303356,"Risk governance, adaptation and resilience"
1,tree; pine; trees; regeneration; pinus; mortality; stands; growth; species; stand; seedling; drought; ponderosa; tree mortality; tree species; disturbance; conifer; ponderosa pine; sites; spruce,tree; pine; trees; regeneration; pinus; mortality; stands; growth; species; stand,847,0.0885705322597511,"Forest regeneration, mortality and resilience"
10,species; habitat; conservation; plant; biodiversity; diversity; populations; regimes; ecosystems; population; threatened; habitats; abundance; distribution; communities; plants; ecological; native; australia; disturbance,species; habitat; conservation; plant; biodiversity; diversity; populations; regimes; ecosystems; population,796,0.0832374777789396,"Biodiversity, habitat and conservation"
14,precipitation; temperature; variability; drought; oscillation; summer; season; occurrence; trends; southern; enso; climatic; dry; trend; burned; annual; seasonal; period; patterns; rainfall,precipitation; temperature; variability; drought; oscillation; summer; season; occurrence; trends; southern,677,0.0707936839903796,"Climate variability, drought and fire activity"
13,future; projected; scenarios; states; united states; united; projections; increase; century; western; increases; scenario; warming; western united; boreal; simulations; potential; impacts; historical; expected,future; projected; scenarios; states; united states; united; projections; increase; century; western,608,0.0635783749869287,Future projections under climate scenarios
15,health; air; smoke; exposure; pollution; air pollution; air quality; quality; respiratory; particulate; particulate matter; matter; public health; public; health impacts; asthma; cardiovascular; disease; human health; diseases,health; air; smoke; exposure; pollution; air pollution; air quality; quality; respiratory; particulate,553,0.0578270417233085,"Smoke exposure, air quality and health"
3,charcoal; holocene; cal; pollen; lake; vegetation; history; records; record; activity; late; past; human; regime; sediment; late holocene; regimes; early; climatic; sediments,charcoal; holocene; cal; pollen; lake; vegetation; history; records; record; activity,541,0.0565722053748823,Palaeofire history and Holocene regimes
4,carbon; emissions; greenhouse; emission; gas; carbon emissions; biomass; greenhouse gas; net; peat; ghg; gas emissions; dioxide; sink; carbon dioxide; gases; estimates; peatland; stocks; tropical,carbon; emissions; greenhouse; emission; gas; carbon emissions; biomass; greenhouse gas; net; peat,540,0.0564676356791801,Carbon and greenhouse-gas emissions
2,weather; danger; index; fwi; weather index; canadian; indices; moisture; canadian weather; index fwi; meteorological; fuel moisture; rating; daily; danger rating; fuel; values; days; code; conditions,weather; danger; index; fwi; weather index; canadian; indices; moisture; canadian weather; index fwi,535,0.0559447872006692,Fire-weather danger indices
8,soil; organic; soils; permafrost; water; organic matter; carbon; microbial; matter; soil organic; boreal; nitrogen; properties; organic carbon; nutrient; cycling; layer; respiration; soil moisture; content,soil; organic; soils; permafrost; water; organic matter; carbon; microbial; matter; soil organic,514,0.0537488235909233,"Soil biogeochemistry, permafrost and carbon"
9,extreme; events; extreme weather; weather; weather events; heat; extreme events; floods; droughts; extremes; event; impacts; health; heatwaves; drought; waves; flooding; heat waves; australia; extreme heat,extreme; events; extreme weather; weather; weather events; heat; extreme events; floods; droughts; extremes,495,0.0517619993725818,Compound extremes and climate-related hazards
7,remote; sensing; remote sensing; cover; land; vegetation; satellite; land cover; monitoring; modis; spatial; landsat; ndvi; mapping; resolution; images; index; imagery; normalized; vegetation index,remote; sensing; remote sensing; cover; land; vegetation; satellite; land cover; monitoring; modis,482,0.0504025933284534,"Remote sensing, mapping and monitoring"
11,severity; burn; burn severity; post-fire; burned; recovery; unburned; high-severity; pre-fire; vegetation; topography; following; burn ratio; ratio; post-fire recovery; resilience; normalized burn; severe; frequency; moderate,severity; burn; burn severity; post-fire; burned; recovery; unburned; high-severity; pre-fire; vegetation,433,0.0452786782390463,Burn severity and post-fire recovery
12,learning; machine; machine learning; prediction; deep; deep learning; accuracy; detection; neural; performance; network; random; artificial; networks; neural network; dataset; proposed; susceptibility; factors; algorithms,learning; machine; machine learning; prediction; deep; deep learning; accuracy; detection; neural; performance,421,0.0440238418906201,Machine-learning prediction and detection
5,aerosol; radiative; aerosols; forcing; radiative forcing; optical; biomass burning; atmospheric; aerosol optical; smoke; particles; burning; absorption; black carbon; biomass; atmosphere; properties; black; aod; transport,aerosol; radiative; aerosols; forcing; radiative forcing; optical; biomass burning; atmospheric; aerosol optical; smoke,394,0.041200460106661,Aerosol radiative forcing and transport
0,fuel; prescribed; treatments; burning; management; fuels; prescribed burning; treatment; suppression; behavior; landscape; reduction; spread; thinning; reduce; fuel treatments; fuel treatment; loads; fuel loads; effectiveness,fuel; prescribed; treatments; burning; management; fuels; prescribed burning; treatment; suppression; behavior,338,0.0353445571473387,"Fuel management, prescribed fire and suppression"
